Date,Open,High,Low,Close,Volume
05/23/2025,"337.92","343.18","333.21","339.34","84,654,812"
05/22/2025,"331.90","347.27","331.39","341.04","97,113,422"
05/21/2025,"344.43","347.35","332.20","334.62","102,354,797"
05/20/2025,"347.87","354.99","341.63","343.82","131,715,500"
05/19/2025,"336.30","343.00","333.37","342.09","88,869,852"
05/16/2025,"346.24","351.62","342.33","349.98","95,895,672"
05/15/2025,"340.34","346.14","334.72","342.82","97,882,602"
05/14/2025,"342.50","350.00","337.00","347.68","136,997,297"
05/13/2025,"320.00","337.59","316.80","334.07","136,992,609"
05/12/2025,"321.99","322.21","311.50","318.38","112,826,703"
05/09/2025,"290.21","307.04","290.00","298.26","132,387,797"
05/08/2025,"279.63","289.80","279.41","284.82","97,539,445"
05/07/2025,"276.88","277.92","271.00","276.22","71,882,406"
05/06/2025,"273.11","277.73","271.35","275.35","76,715,789"
05/05/2025,"284.57","284.85","274.40","280.26","94,618,883"
05/02/2025,"284.90","294.78","279.81","287.21","114,454,703"
05/01/2025,"280.01","290.87","279.81","280.52","99,658,969"
04/30/2025,"279.90","284.45","270.78","282.16","128,961,102"
04/29/2025,"285.50","293.32","279.47","292.03","108,906,602"
04/28/2025,"288.98","294.86","272.42","285.88","151,731,812"
04/25/2025,"261.69","286.85","259.63","284.95","167,560,703"
04/24/2025,"250.50","259.54","249.20","259.51","94,464,203"
04/23/2025,"254.86","259.45","244.43","250.74","150,381,906"
04/22/2025,"230.96","242.79","229.85","237.97","120,858,492"
04/21/2025,"230.26","232.21","222.79","227.50","97,768,008"
04/17/2025,"243.47","244.34","237.68","241.37","83,404,781"
04/16/2025,"247.61","251.97","233.89","241.55","112,378,703"
04/15/2025,"249.91","258.75","247.54","254.11","79,594,320"
04/14/2025,"258.36","261.80","245.93","252.35","100,135,203"
04/11/2025,"251.84","257.74","241.36","252.31","128,948,094"
04/10/2025,"260.00","262.49","239.33","252.40","181,722,594"
04/09/2025,"224.69","274.69","223.88","272.20","219,433,406"
04/08/2025,"245.00","250.44","217.80","221.86","171,603,500"
04/07/2025,"223.78","252.00","214.25","233.29","183,453,797"
04/04/2025,"255.38","261.00","236.00","239.43","181,229,406"
04/03/2025,"265.29","276.30","261.51","267.28","136,174,297"
04/02/2025,"254.60","284.99","251.27","282.76","212,787,812"
04/01/2025,"263.80","277.45","259.25","268.46","146,486,891"
